NAME,CODE1,CODE2,CODE3,REGION,SUBREGION
Austria,AT,AUT,40,Europe,Western
Belgium,BE,BEL,56,Europe,Western
Bulgaria,BG,BGR,100,Europe,Eastern
Croatia,HR,HRV,191,Europe,Southern
Cyprus,CY,CYP,196,Europe,Southern
Czechia,CZ,CZE,203,Europe,Eastern
Denmark,DK,DNK,208,Europe,Northern
Estonia,EE,EST,233,Europe,Northern
Finland,FI,FIN,246,Europe,Northern
France,FR,FRA,250,Europe,Western
Germany,DE,DEU,276,Europe,Western
Greece,GR,GRC,300,Europe,Southern
Hungary,HU,HUN,348,Europe,Eastern
Ireland,IE,IRL,372,Europe,Northern
Israel,IL,ISR,376,Asia,Western
Italy,IT,ITA,380,Europe,Southern
Latvia,LV,LVA,428,Europe,Northern
Lithuania,LT,LTU,440,Europe,Northern
Luxembourg,LU,LUX,442,Europe,Western
Malta,MT,MLT,470,Europe,Southern
Netherlands,NL,NLD,528,Europe,Western
Poland,PO,POL,616,Europe,Eastern
Portugal,PT,PRT,620,Europe,Southern
Romania,RO,ROU,642,Europe,Eastern
Slovakia,SK,SVK,703,Europe,Eastern
Slovenia,SI,SVN,705,Europe,Southern
Spain,ES,ESP,724,Europe,Southern
Sweden,SE,SWE,752,Europe,Northern
Switzerland,CH,CHE,756,Europe,Northern
